seat_id,event_id,section,row,seat_number,price,status,booked_by_user_id
EVT00001-C-11,EVT00001,C,1,1,127.34,available,
EVT00001-VIP-12,EVT00001,VIP,1,2,254.68,available,
EVT00001-VIP-13,EVT00001,VIP,1,3,254.68,available,
EVT00001-B-14,EVT00001,B,1,4,127.34,available,
EVT00001-VIP-15,EVT00001,VIP,1,5,254.68,booked,USR00098
EVT00001-Floor-16,EVT00001,Floor,1,6,191.01,available,
EVT00001-C-17,EVT00001,C,1,7,127.34,available,
EVT00001-C-18,EVT00001,C,1,8,127.34,booked,USR00169
EVT00001-VIP-19,EVT00001,VIP,1,9,254.68,booked,USR00145
EVT00001-A-110,EVT00001,A,1,10,127.34,available,
EVT00001-VIP-21,EVT00001,VIP,2,1,254.68,available,
EVT00001-C-22,EVT00001,C,2,2,127.34,available,
EVT00001-B-23,EVT00001,B,2,3,127.34,available,
EVT00001-C-24,EVT00001,C,2,4,127.34,booked,USR00049
EVT00001-Floor-25,EVT00001,Floor,2,5,191.01,booked,USR00194
EVT00001-B-26,EVT00001,B,2,6,127.34,available,
EVT00001-A-27,EVT00001,A,2,7,127.34,booked,USR00113
EVT00001-A-28,EVT00001,A,2,8,127.34,available,
EVT00001-B-29,EVT00001,B,2,9,127.34,booked,USR00076
EVT00001-C-210,EVT00001,C,2,10,127.34,available,
EVT00001-B-31,EVT00001,B,3,1,127.34,booked,USR00139
EVT00001-C-32,EVT00001,C,3,2,127.34,available,
EVT00001-C-33,EVT00001,C,3,3,127.34,available,
EVT00001-C-34,EVT00001,C,3,4,127.34,available,
EVT00001-VIP-35,EVT00001,VIP,3,5,254.68,available,
EVT00001-C-36,EVT00001,C,3,6,127.34,available,
EVT00001-C-37,EVT00001,C,3,7,127.34,available,
EVT00001-VIP-38,EVT00001,VIP,3,8,254.68,available,
EVT00001-B-39,EVT00001,B,3,9,127.34,available,
EVT00001-B-310,EVT00001,B,3,10,127.34,available,
EVT00001-VIP-41,EVT00001,VIP,4,1,254.68,available,
EVT00001-Floor-42,EVT00001,Floor,4,2,191.01,available,
EVT00001-VIP-43,EVT00001,VIP,4,3,254.68,booked,USR00138
EVT00001-A-44,EVT00001,A,4,4,127.34,available,
EVT00001-C-45,EVT00001,C,4,5,127.34,available,
EVT00001-C-46,EVT00001,C,4,6,127.34,booked,USR00060
EVT00001-VIP-47,EVT00001,VIP,4,7,254.68,booked,USR00144
EVT00001-C-48,EVT00001,C,4,8,127.34,available,
EVT00001-B-49,EVT00001,B,4,9,127.34,available,
EVT00001-VIP-410,EVT00001,VIP,4,10,254.68,available,
EVT00001-C-51,EVT00001,C,5,1,127.34,available,
EVT00001-A-52,EVT00001,A,5,2,127.34,booked,USR00010
EVT00001-C-53,EVT00001,C,5,3,127.34,available,
EVT00001-A-54,EVT00001,A,5,4,127.34,booked,USR00138
EVT00001-B-55,EVT00001,B,5,5,127.34,available,
EVT00001-C-56,EVT00001,C,5,6,127.34,available,
EVT00001-Floor-57,EVT00001,Floor,5,7,191.01,available,
EVT00001-B-58,EVT00001,B,5,8,127.34,available,
EVT00001-A-59,EVT00001,A,5,9,127.34,available,
EVT00001-Floor-510,EVT00001,Floor,5,10,191.01,available,
EVT00001-C-61,EVT00001,C,6,1,127.34,booked,USR00095
EVT00001-B-62,EVT00001,B,6,2,127.34,available,
EVT00001-B-63,EVT00001,B,6,3,127.34,available,
EVT00001-A-64,EVT00001,A,6,4,127.34,available,
EVT00001-C-65,EVT00001,C,6,5,127.34,available,
EVT00001-C-66,EVT00001,C,6,6,127.34,booked,USR00071
EVT00001-B-67,EVT00001,B,6,7,127.34,available,
EVT00001-VIP-68,EVT00001,VIP,6,8,254.68,booked,USR00055
EVT00001-Floor-69,EVT00001,Floor,6,9,191.01,available,
EVT00001-A-610,EVT00001,A,6,10,127.34,available,
EVT00001-B-71,EVT00001,B,7,1,127.34,available,
EVT00001-Floor-72,EVT00001,Floor,7,2,191.01,booked,USR00196
EVT00001-Floor-73,EVT00001,Floor,7,3,191.01,booked,USR00056
EVT00001-B-74,EVT00001,B,7,4,127.34,booked,USR00038
EVT00001-Floor-75,EVT00001,Floor,7,5,191.01,booked,USR00038
EVT00001-B-76,EVT00001,B,7,6,127.34,available,
EVT00001-B-77,EVT00001,B,7,7,127.34,booked,USR00007
EVT00001-B-78,EVT00001,B,7,8,127.34,booked,USR00061
EVT00001-Floor-79,EVT00001,Floor,7,9,191.01,booked,USR00045
EVT00001-C-710,EVT00001,C,7,10,127.34,booked,USR00190
EVT00001-VIP-81,EVT00001,VIP,8,1,254.68,available,
EVT00001-A-82,EVT00001,A,8,2,127.34,available,
EVT00001-C-83,EVT00001,C,8,3,127.34,available,
EVT00001-A-84,EVT00001,A,8,4,127.34,available,
EVT00001-B-85,EVT00001,B,8,5,127.34,available,
EVT00001-A-86,EVT00001,A,8,6,127.34,available,
EVT00001-Floor-87,EVT00001,Floor,8,7,191.01,booked,USR00165
EVT00001-A-88,EVT00001,A,8,8,127.34,booked,USR00123
EVT00001-VIP-89,EVT00001,VIP,8,9,254.68,available,
EVT00001-A-810,EVT00001,A,8,10,127.34,available,
EVT00001-VIP-91,EVT00001,VIP,9,1,254.68,booked,USR00021
EVT00001-C-92,EVT00001,C,9,2,127.34,available,
EVT00001-A-93,EVT00001,A,9,3,127.34,booked,USR00160
EVT00001-Floor-94,EVT00001,Floor,9,4,191.01,available,
EVT00001-C-95,EVT00001,C,9,5,127.34,available,
EVT00001-Floor-96,EVT00001,Floor,9,6,191.01,available,
EVT00001-VIP-97,EVT00001,VIP,9,7,254.68,available,
EVT00001-VIP-98,EVT00001,VIP,9,8,254.68,booked,USR00180
EVT00001-A-99,EVT00001,A,9,9,127.34,available,
EVT00001-Floor-910,EVT00001,Floor,9,10,191.01,available,
EVT00001-B-101,EVT00001,B,10,1,127.34,available,
EVT00001-B-102,EVT00001,B,10,2,127.34,available,
EVT00001-VIP-103,EVT00001,VIP,10,3,254.68,available,
EVT00001-A-104,EVT00001,A,10,4,127.34,booked,USR00081
EVT00001-C-105,EVT00001,C,10,5,127.34,available,
EVT00001-B-106,EVT00001,B,10,6,127.34,available,
EVT00001-VIP-107,EVT00001,VIP,10,7,254.68,booked,USR00022
EVT00001-A-108,EVT00001,A,10,8,127.34,available,
EVT00001-C-109,EVT00001,C,10,9,127.34,available,
EVT00001-Floor-1010,EVT00001,Floor,10,10,191.01,booked,USR00144
EVT00002-Floor-11,EVT00002,Floor,1,1,259.45,booked,USR00032
EVT00002-VIP-12,EVT00002,VIP,1,2,345.94,available,
EVT00002-VIP-13,EVT00002,VIP,1,3,345.94,available,
EVT00002-A-14,EVT00002,A,1,4,172.97,available,
EVT00002-Floor-15,EVT00002,Floor,1,5,259.45,booked,USR00027
EVT00002-Floor-16,EVT00002,Floor,1,6,259.45,available,
EVT00002-B-17,EVT00002,B,1,7,172.97,available,
EVT00002-B-18,EVT00002,B,1,8,172.97,available,
EVT00002-C-19,EVT00002,C,1,9,172.97,available,
EVT00002-C-110,EVT00002,C,1,10,172.97,booked,USR00072
EVT00002-Floor-21,EVT00002,Floor,2,1,259.45,booked,USR00110
EVT00002-Floor-22,EVT00002,Floor,2,2,259.45,available,
EVT00002-Floor-23,EVT00002,Floor,2,3,259.45,available,
EVT00002-Floor-24,EVT00002,Floor,2,4,259.45,booked,USR00169
EVT00002-C-25,EVT00002,C,2,5,172.97,booked,USR00070
EVT00002-C-26,EVT00002,C,2,6,172.97,available,
